school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude,longitude
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MADAM LIM PECK CHIN YENLYN,MR MOHAMED JURAIMI BIN ABDUL MUHIN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33524602829747,103.921286435321
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229,479229,64436848,na,64425629,na,DAMAI_SS@MOE.EDU.SG,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MADAM CHAN WAN SIONG,MR NG CHENG KEONG,MADAM PREMLATHA D/O SELVARAJ,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.33692798510393,103.927091653438
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,65658002,na,65636421,na,DAZHONG_PS@MOE.EDU.SG,Bukit Gombak,"187, 188",MR CHRIS LOH KAI MUN,MR KOH KAH HOCK,MRS LIM SEOW KHIM MRS BOEY- LIM SEOW KHIM,MISS TAN HUI YAH,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3591797447277,103.74847210784
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,67667675,na,67622075,na,DLSS@MOE.EDU.SG,YEW TEE MRT,"TIBS 302, 979",MADAM CHERYL CHOO SHUEH-LI,MISS CECILIA TAN LI HUA,MISS LIU JIAZHEN ADELINE,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3947078296399,103.743201812831
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MR CHOW WEISI,MR APOLLOS INDUCHOODAN PILLAI,MISS CHIANG HUIMIN,na,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36599702567717,103.852545772422
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MADAM SOH BENG MUI,MR LEE KAH SIONG JIMMY,YAP KWEE CHYE,na,na,na,na,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36357900792871,103.74472109107
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"KATONG PARK MRT,ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT,","12, 14, 30, 158, 196",MR CHAN YING YIN,MADAM LEONG SOOK HING,MR MELVIN NG YONG HUI,MR PUAH YOU KAI,MR ONG QIU JIE,na,na,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL (S1-JC2),Yes,Yes,Yes,Yes,CHINESE,na,na,1.29996216014962,103.88294155989
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MR FATHUL RAHMAN BIN KAMSANI,MISS PRIYA PRASAD,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.36065258337022,103.956213906966
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258,529258,67866192,na,67866649,na,ESPS@MOE.EDU.SG,Tampines,"291, 28,18",MADAM NEO LAY WAH,MADAM FAZILAH MARICAR D/O MD ALI M,MS NG HUI ENG,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35268400746357,103.961676849165
EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30 TAMPINES STREET 34 EAST SPRING SECONDARY SCHOOL SINGAPORE 529231,529231,65873805,na,65873804,na,ESSS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR LIM PIA LEONG,MR KOH CHEE HUI,MR PHAY CHYE HOCK ADRIAN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.35622508992581,103.960640700298
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MADAM RABIATHUL BAZRIYA D/O ABU BAKAR,MR YAP LIH MIN SAMUEL,MS TAN PEY SAN,TEH CHONG ANN,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.40009139510996,103.907847599114
EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR FOO JUNG HIN SIMON,MR BENSON TEO HONG GUAN (ZHANG HONGYUAN),MR HOW PUI SENG,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.40059309981824,103.902687385465
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11 PASIR RIS STREET 52 AFTERSCHOOL @ ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,65844393,na,65844392,na,EPPS@MOE.EDU.SG,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MADAM CHUA PEI PEI,MR HO FU CHEW,PEH BEE KUAN,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.37505696315817,103.945289416873
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10 ADMIRALTY LINK COMMIT LEARNING SCHOOLHOUSE @ ENDEAVOUR PRIMARY SINGAPORE 757521,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MADAM CHUA HUI PIN,MISS FAUZIAH DAUD,MISS CELESTE LOH SHI MIN,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.45388170417263,103.817174701639
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838,573838,63518388,na,63518399,na,eunoiajc@moe.edu.sg,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station, Bright Hill MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",MR TAN ENG HIAN ANDREW,MDM NEW YI CHEEN,MADAM PHUA KIA LING,na,na,na,na,BISHAN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,CHINESE,MALAY,TAMIL,1.36213757183547,103.841286169122
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908,738908,63687705,na,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MR JEFFREY AW,MR BOH CHUAN XIANG,MADAM ONG HWEE LENG,MR CHENG YOU NENG,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.44414835451585,103.794545295922
EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MS BIAN YU WEI,MR LIM KANGYU,MADAM TAY CHOR HWEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.44149131273737,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100 DOVER ROAD COMMIT LEARNING SCHOOLHOUSE @ FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,67788431,na,67762948,na,FMPS@MOE.EDU.SG,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MADAM WONG MEI FOONG,MR HO KOK SOON,MADAM QUEK TSUI LAN PRISCA,MR KNG WEE BENG,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.30100441916733,103.785455606827
FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649,139649,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MR WEE TAT CHUEN,MR JEROMY NGIAN KUN CHUAN,MISS STELLA KOH LI HUI,MADAM CHUA JIAYIN,na,na,na,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.30163374395823,103.784099647149
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2 FARRER PARK ROAD LEARNING STUDIO BY ZENITANT (FARRER PARK PRIMARY) SINGAPORE 217567,217567,62952272,na,62942272,na,FPPS@MOE.EDU.SG,Farrer Park MRT Station,131,"MR YAP SWEE BENG, DENNIS",MADAM RAHIMA BTE ABDUL RAHMAN,MR YONG WEI LEONG,na,na,na,na,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31243078021903,103.850770929023
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,65860123,na,65860122,na,FSPS@MOE.EDU.SG,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MISS WONG LIANG- JI TABITHA,MADAM LAI KAI CHING,MS SIEW GEOK LING (SHAO YULING),na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.32980598760785,103.931710293058
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",na,MADAM KYLICIA SOO GEOK LING,MISS CHOW CHIA MIN AGNES,"MADAM QUEK HWEE PENG, ANDREA (GUO HUIPING, ANDREA)",na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39726966050479,103.880330305684
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MR LAU ENOCH,MISS YAP AI LI,MR RAMESH MUKUNDHAN,MR KEVIN PATT,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39030227963797,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,62567822,na,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MADAM JENNIFER HAN ENG JUAN,MR KOH PENG YEOW,MS TAY YAM ENG,na,na,na,na,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.34032299499938,103.855529906182
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179",MADAM LEE YEW KOON TONNINE,MADAM CHAN YEE CHIN WILNA,MADAM WONG SHI-LEI,MR ANG BOON CHIN,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33641298743234,103.69970173931
FUCHUN PRIMARY SCHOOL,http://www.fuchunpri.moe.edu.sg,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,63683925,na,63670117,na,FCPS@MOE.EDU.SG,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",MADAM EUNICE LIM,MR SUDHESH VASU DASH,MR TAN CHIN KEE,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43047990810126,103.778192944298
FUHUA PRIMARY SCHOOL,http://www.fuhuapri.moe.edu.sg,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,65624370,na,65639542,na,FHPS@MOE.EDU.SG,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506; JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335",MR GANESAN S/O RAMAN,MADAM SEOW SWEE NEO CHRISTINA,MS SAIMA HANIF D/O MOHAMED HANIF,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.33659726465816,103.736089481883
FUHUA SECONDARY SCHOOL,http://www.fuhuasec.moe.edu.sg,5 JURONG WEST STREET 41 FUHUA SECONDARY SCHOOL SINGAPORE 649410,649410,65633067,na,65634379,na,FHSS@MOE.EDU.SG,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",MRS LIM CAROL,MR CHNG PUAY KEONG,MISS PEH LEE CHIN,na,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34701408913756,103.72652089832
GAN ENG SENG PRIMARY SCHOOL,http://www.ganengsengpri.moe.edu.sg,100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901,158901,64717451,na,64794152,na,GESPS@MOE.EDU.SG,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MR KYAW SAW LYNN,MADAM WONG SEOK GHEE,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.28559516494962,103.815547410064
GAN ENG SENG SCHOOL,http://www.ganengsengsch.moe.edu.sg,1 HENDERSON ROAD GAN ENG SENG SCHOOL SINGAPORE 159561,159561,64745594,na,64732479,na,GESS@MOE.EDU.SG,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",MISS TAN HWEE PIN,MADAM SARAWATHY D/O VARADARAJU,MR TAN TZE JWEE GLYNN,MR GOH THYE HENG,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.28907114485773,103.823733673089
GEYLANG METHODIST SCHOOL (PRIMARY),www.geylangmethodistpri.moe.edu.sg,4 GEYLANG EAST CENTRAL CHRISTALITE METHODIST CHAPEL SINGAPORE 389706,389706,67486746,na,67488980,na,GMPS@MOE.EDU.SG,Aljunied,"80, 134, 155",MADAM LEONG BENG YUET DAPHNE,MR LUA EE PING,MADAM SHARON CHANTALE KOK YENG LING,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31814416827374,103.883628501601
GEYLANG METHODIST SCHOOL (SECONDARY),http://www.geylangmethodistsec.moe.edu.sg,2 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (SECONDARY) SINGAPORE 389705,389705,67466503,na,67477317,na,GMSS@MOE.EDU.SG,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",MR OWYONG TUCK SING VICTOR,MR JOHN WU YIFAN,MISS TAY HUI CHENG,na,na,na,na,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.31764900474601,103.882661129303
GONGSHANG PRIMARY SCHOOL,http://www.gongshangpri.moe.edu.sg,1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,67831191,na,67880004,na,GSPS@MOE.EDU.SG,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4, 8, 18, 19, 21, 37, 38, 81, 293",MRS STELLA KWAN,MDM NORA BTE OSMAN,MRS YIO YEN LING SELINA,MR FONG WAI KHIN,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.35711606790292,103.949144797277
GREENDALE PRIMARY SCHOOL,http://www.greendalepri.moe.edu.sg,50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848,828848,68861413,na,68861419,na,greendale_ps@moe.edu.sg,Punggol LRT:  Coral Edge,"3,62, 83, 85, 386",MADAM NOORISMAWATY BTE ISMAIL,MR SIM CHIN BENG WILSON,MR CHING KIN HIN,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39648195114256,103.91233462071
GREENDALE SECONDARY SCHOOL,http://www.greendalesec.moe.edu.sg,51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866,828866,63158616,na,63158420,na,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MR SULAIMAN B MOHAMAD YUSOF,MRS YU WEN YEN ANNE MRS ANNE CHAN,MR CHIA KENG HWEE,na,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.39696019936894,103.91170014084
GREENRIDGE PRIMARY SCHOOL,http://www.greenridgepri.moe.edu.sg,11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744,677744,67604265,na,67620189,na,GRPS@MOE.EDU.SG,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",MADAM ONG FEI MIN,MR WONG SUNG LAI,MR ANG KONG BENG ANDY,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.3858892193692,103.767794469258
GREENRIDGE SECONDARY SCHOOL,http://www.greenridgesec.moe.edu.sg,31 GANGSA ROAD GREENRIDGE SECONDARY SCHOOL SINGAPORE 678972,678972,67691491,na,na,na,GRSS@MOE.EDU.SG,"Bukit Panjang MRT, Bukit Panjang LRT, Petir LRT","65, 75, 170, 170A, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 972, 972A, 972M, 973, 973A, 974, 975, 976, 979, 983",MR NG BOON KIAT,MRS DALINA BTE ABDULLAH,MR NGOH SING KIEN,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.375600053443,103.763998914082
GREENWOOD PRIMARY SCHOOL,http://www.greenwoodpri.moe.edu.sg,11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942,737942,63666158,na,63666159,na,GREENWOOD_PS@MOE.EDU.SG,Admiralty MRT Station,"912, 913, 962",MADAM TANG PEI LU TRICILIA,MR KIRUPANANTHA KUMAR S/O PALAIYAN,MR LEE HUAN SIAK,MR TAN KAR WEE,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43989958331782,103.804725587384
GUANGYANG SECONDARY SCHOOL,http://guangyangsec.moe.edu.sg,8 BISHAN STREET 12 GUANGYANG SECONDARY SCHOOL SINGAPORE 579807,579807,62589781,na,63543108,na,GYSS@MOE.EDU.SG,BISHAN MRT,"13, 56, 57, 59, 71, 88, 93, 157, 163, 410",MISS TAN KE XIN,MR HAN WEE FONG (HAN WEIFENG),MISS WU XINPING JENNIFER,MR ANBALAGAN S/O THANGARAJAH,na,na,na,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.34440856042912,103.850208933626
HAI SING CATHOLIC SCHOOL,http://www.haisingcatholic.moe.edu.sg,15 PASIR RIS STREET 21 HAI SING CATHOLIC SCHOOL (TILL 31 DEC 2025) SINGAPORE 518969,518969,65827864,na,65822543,na,HSHS@MOE.EDU.SG,PASIR RIS MRT,"3, 5, 6, 89, 109",MISS LIM MUI MUI ADELINE,MISS SHEREEN WONG MINGRUI,"MADAM TAN PHUAY BOON, GWEN",MR KONG WEI FOONG,na,na,na,PASIR RIS,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.36933055696636,103.962762942764
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51 KOON SENG ROAD HAIG GIRLS' SCHOOL SINGAPORE 427072,427072,63440293,na,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,"Eunos, Dakota","16,33",MS MARION DONNE TAY SZE LENG (ZHENG SHILING),MADAM GOH SWEE LIN EVELYN,MISS SEAH XIAO YUN SHERLYN,na,na,na,na,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.31194344271383,103.902902557195
HENRY PARK PRIMARY SCHOOL,http://www.henryparkpri.moe.edu.sg,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790,278790,64663600,na,64691840,na,HPPS@MOE.EDU.SG,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",MR CHAN GEOK ANN CHARLES,MR CHUA CHYE HOCK,MRS JEAN TOH,MISS REGINA KIM LEE HOON,na,na,na,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,CHINESE,MALAY,TAMIL,1.31667646178347,103.784296227747
